iteration,fold,train_rows,validation_rows,marginal_coverage,knn_coverage,threshold,new_promoted_blocks,stage
1,0,24477,5368,1,0.995342771982,1.49302485988,63,ITERATIVE_PROMOTION
1,1,24637,5208,1,0.979838709677,1.47907218528,63,ITERATIVE_PROMOTION
1,2,24637,5208,1,0.975230414747,1.45881762682,63,ITERATIVE_PROMOTION
1,3,24684,5161,1,0.98973067235,1.48775064291,63,ITERATIVE_PROMOTION
1,4,24641,5204,1,0.98712528824,1.49211727211,63,ITERATIVE_PROMOTION
2,0,25813,4032,1,1,1.47103877329,2,ITERATIVE_PROMOTION
2,1,27493,2352,1,1,1.45104265021,2,ITERATIVE_PROMOTION
2,2,26989,2856,1,1,1.4524628367,2,ITERATIVE_PROMOTION
2,3,26298,3547,1,0.99971807161,1.46658925762,2,ITERATIVE_PROMOTION
2,4,26893,2952,1,0.999661246612,1.45943247618,2,ITERATIVE_PROMOTION
3,0,25813,4032,1,1,1.47103877329,0,ITERATIVE_PROMOTION
3,1,27493,2352,1,1,1.45104265021,0,ITERATIVE_PROMOTION
3,2,26989,2856,1,1,1.4524628367,0,ITERATIVE_PROMOTION
3,3,26466,3379,1,1,1.46664205057,0,ITERATIVE_PROMOTION
3,4,27061,2784,1,1,1.46084172015,0,ITERATIVE_PROMOTION
FINAL,0,25813,4032,1,1,1.47103877329,0,FINAL
FINAL,1,27493,2352,1,1,1.45104265021,0,FINAL
FINAL,2,26989,2856,1,1,1.4524628367,0,FINAL
FINAL,3,26466,3379,1,1,1.46664205057,0,FINAL
FINAL,4,27061,2784,1,1,1.46084172015,0,FINAL
